Agent DT2 issued deposit of $486.00 into JA-2 at 2024-09-23 17:32:50. Transaction Number: 3
Agent WT1 issued withdrawal of $91.00 into JA-2 at 2024-09-23 17:32:50. Transaction Number: 7
Agent WT8 issued withdrawal of $97.00 into JA-2 at 2024-09-23 17:32:50. Transaction Number: 14
Agent DT2 issued deposit of $466.00 into JA-2 at 2024-09-23 17:32:50. Transaction Number: 34
Agent DT4 issued deposit of $561.00 into JA-1 at 2024-09-23 17:32:50. Transaction Number: 37
Agent WT3 issued withdrawal of $98.00 into JA-1 at 2024-09-23 17:32:50. Transaction Number: 41
Agent DT0 issued deposit of $541.00 into JA-2 at 2024-09-23 17:32:51. Transaction Number: 55
Agent DT1 issued deposit of $469.00 into JA-2 at 2024-09-23 17:32:51. Transaction Number: 56
Agent WT8 issued withdrawal of $92.00 into JA-1 at 2024-09-23 17:32:51. Transaction Number: 58
Agent WT7 issued withdrawal of $93.00 into JA-2 at 2024-09-23 17:32:51. Transaction Number: 61
Agent WT5 issued withdrawal of $97.00 into JA-2 at 2024-09-23 17:32:51. Transaction Number: 67
Agent DT3 issued deposit of $589.00 into JA-1 at 2024-09-23 17:32:51. Transaction Number: 77
Agent DT4 issued deposit of $488.00 into JA-1 at 2024-09-23 17:32:51. Transaction Number: 86
Agent WT9 issued withdrawal of $95.00 into JA-1 at 2024-09-23 17:32:51. Transaction Number: 95
Agent WT6 issued withdrawal of $91.00 into JA-1 at 2024-09-23 17:32:52. Transaction Number: 109
Agent WT1 issued withdrawal of $91.00 into JA-1 at 2024-09-23 17:32:52. Transaction Number: 117
Agent WT3 issued withdrawal of $96.00 into JA-2 at 2024-09-23 17:32:52. Transaction Number: 127
Agent WT1 issued withdrawal of $96.00 into JA-2 at 2024-09-23 17:32:52. Transaction Number: 135
Agent DT0 issued deposit of $523.00 into JA-1 at 2024-09-23 17:32:52. Transaction Number: 140
Agent DT0 issued deposit of $583.00 into JA-2 at 2024-09-23 17:32:53. Transaction Number: 150
Agent WT1 issued withdrawal of $92.00 into JA-2 at 2024-09-23 17:32:53. Transaction Number: 153
